Id,Category
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,4
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,7
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,7
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,1
101,1
102,1
103,1
104,1
105,1
106,2
107,1
108,1
109,7
110,9
111,1
112,7
113,1
114,1
115,5
116,1
117,1
118,1
119,1
120,2
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,3
139,8
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,0
148,0
149,1
150,6
151,6
152,2
153,2
154,6
155,2
156,2
157,2
158,6
159,6
160,6
161,2
162,2
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,4
171,2
172,2
173,2
174,2
175,6
176,2
177,2
178,6
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,6
198,2
199,6
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,8
221,2
222,2
223,8
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,6
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,8
244,2
245,2
246,6
247,2
248,2
249,4
250,3
251,3
252,3
253,3
254,3
255,3
256,3
257,3
258,3
259,3
260,3
261,3
262,3
263,3
264,3
265,2
266,3
267,4
268,3
269,3
270,3
271,3
272,3
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,3
282,3
283,3
284,3
285,3
286,2
287,3
288,3
289,3
290,4
291,3
292,3
293,8
294,1
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,3
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,9
315,3
316,4
317,3
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,3
333,3
334,3
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,3
346,3
347,3
348,3
349,3
350,4
351,4
352,4
353,6
354,4
355,4
356,4
357,4
358,4
359,4
360,3
361,5
362,4
363,4
364,4
365,4
366,4
367,4
368,3
369,4
370,4
371,4
372,5
373,4
374,4
375,4
376,4
377,2
378,4
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,5
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,2
396,4
397,4
398,4
399,4
400,1
401,4
402,4
403,6
404,4
405,4
406,4
407,4
408,4
409,4
410,4
411,5
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,4
421,4
422,4
423,4
424,4
425,2
426,4
427,4
428,4
429,3
430,4
431,4
432,4
433,2
434,4
435,4
436,3
437,4
438,4
439,2
440,4
441,4
442,4
443,3
444,4
445,4
446,4
447,4
448,4
449,8
450,5
451,5
452,5
453,5
454,5
455,5
456,5
457,5
458,5
459,8
460,5
461,5
462,5
463,5
464,9
465,5
466,5
467,5
468,5
469,4
470,5
471,5
472,5
473,5
474,5
475,5
476,4
477,5
478,5
479,5
480,5
481,5
482,5
483,5
484,5
485,5
486,2
487,5
488,5
489,5
490,5
491,5
492,5
493,4
494,5
495,5
496,5
497,5
498,5
499,5
500,5
501,5
502,5
503,5
504,5
505,5
506,5
507,5
508,5
509,5
510,5
511,5
512,5
513,9
514,5
515,5
516,5
517,5
518,5
519,5
520,5
521,5
522,5
523,5
524,5
525,5
526,5
527,5
528,5
529,5
530,5
531,5
